localID,teamName,firstName,lastName,primaryPosition,pitcherRole,power,contact,speed,fielding,arm,velocity,junk,accuracy,age,trait,subType
1111,"Jomboy Media",Sloop,Whoopity,4,,29,73,83,58,53,,,,20,13,6
1206,"Prime Time",Almondo,Gnuts,1,3,4,14,37,70,,74,55,67,33,5,13
1334,"We Got Ice",Sirloin,Jones,1,4,17,5,48,29,,87,61,59,37,21,7
1440,"We Got Ice",Charlie,Best,1,3,3,13,5,82,,74,93,86,31,22,17
1533,"Pinstripe Strong",Ace,"von Acesson",1,1,15,32,16,96,,65,84,78,29,7,6
1566,"Prime Time",Kitty,Kauffman,4,,32,94,93,51,52,,,,21,11,6
1573,"Girls & Co.",Bobby,Bashe,5,,96,32,75,55,63,,,,24,10,9
1573,"Girls & Co.",Bobby,Bashe,5,,96,32,75,55,63,,,,24,30,7
1586,"Goat Herd",Hank,Aaron,9,,99,98,35,73,87,,,,36,0,1
1586,"Goat Herd",Hank,Aaron,9,,99,98,35,73,87,,,,36,3,4
1639,"Prime Time",Bartolo,Colon,1,1,90,0,21,41,,54,64,83,35,23,6
1639,"Prime Time",Bartolo,Colon,1,1,90,0,21,41,,54,64,83,35,39,7
1703,"We Got Ice",Torii,Hunter,8,,66,47,65,78,65,,,,23,29,6
1714,"Jomboy Media",John,Kruk,7,,36,61,60,50,65,,,,21,10,8
1714,"Jomboy Media",John,Kruk,7,,36,61,60,50,65,,,,21,26,7
1716,"Can O' Corns",Mark,Langston,1,1,7,0,15,61,,64,84,56,21,19,7
1720,"We Got Ice",Cliff,Lee,1,1,9,5,30,19,,34,65,88,32,18,6
1735,"Pinstripe Strong",Willie,Mays,8,,97,91,45,98,63,,,,20,10,8
1735,"Pinstripe Strong",Willie,Mays,8,,97,91,45,98,63,,,,20,29,6
1748,"Prime Time",Mike,Napoli,2,,86,9,37,74,72,,,,33,4,7
1749,"Can O' Corns",Joe,Nathan,1,4,12,2,1,43,,92,72,61,33,20,6
1749,"Can O' Corns",Joe,Nathan,1,4,12,2,1,43,,92,72,61,33,32,6
1825,"We Got Ice",Kevin,Youkilis,5,,73,57,68,65,29,,,,23,12,10
1825,"We Got Ice",Kevin,Youkilis,5,,73,57,68,65,29,,,,23,14,7
8215,"Can O' Corns",Jeff,Bagwell,3,,95,79,82,61,25,,,,28,3,3
8215,"Can O' Corns",Jeff,Bagwell,3,,95,79,82,61,25,,,,28,12,10
8394,"Jomboy Media",Jimmy,"O'Brien",2,,95,95,39,95,97,,,,34,14,6
8394,"Jomboy Media",Jimmy,"O'Brien",2,,95,95,39,95,97,,,,34,35,6
8395,"Jomboy Media",Bobby,Skinner,5,,93,30,30,90,90,,,,29,9,6
8396,"Jomboy Media",Kelsey,Wingert,7,,71,57,95,90,90,,,,20,8,6
8397,"Jomboy Media",Jake,Storiale,8,,87,59,40,85,88,,,,35,2,6
8397,"Jomboy Media",Jake,Storiale,8,,87,59,40,85,88,,,,35,3,2
8398,"Jomboy Media",Jerry,Blevins,1,1,28,44,73,64,,93,56,81,27,5,12
8398,"Jomboy Media",Jerry,Blevins,1,1,28,44,73,64,,93,56,81,27,22,16
8399,"Jomboy Media",Justin,Penik,1,1,7,3,12,41,,82,53,82,32,33,25
8400,"We Got Ice",Kyle,MacDonald,2,,84,76,39,80,67,,,,38,12,10
8401,"We Got Ice",Lorenzo,DeMalia,6,,65,99,99,99,99,,,,29,12,11
8401,"We Got Ice",Lorenzo,DeMalia,6,,65,99,99,99,99,,,,29,35,6
8402,"We Got Ice",Dalton,Feely,7,,91,67,89,59,74,,,,29,1,0
8403,"We Got Ice",Jack,Doyle,1,1,28,1,73,76,,92,60,52,26,22,18
8403,"We Got Ice",Jack,Doyle,1,1,28,1,73,76,,92,60,52,26,23,6
8404,"We Got Ice",Kollin,Stone,1,1,19,73,12,92,,98,12,50,30,22,14
8405,"We Got Ice",Yill,Yill,1,3,5,46,29,56,,95,95,5,29,20,6
8405,"We Got Ice",Yill,Yill,1,3,5,46,29,56,,95,95,5,29,31,7
8406,"Girls & Co.",Jolly,Olive,2,,85,80,60,50,61,,,,31,14,7
8406,"Girls & Co.",Jolly,Olive,2,,85,80,60,50,61,,,,31,16,6
8407,"Girls & Co.",Trevor,Plouffe,5,,99,99,45,99,94,,,,30,4,6
8407,"Girls & Co.",Trevor,Plouffe,5,,99,99,45,99,94,,,,30,29,6
8408,"Girls & Co.",Paxton,Elrod,8,,51,99,99,79,99,,,,31,8,6
8408,"Girls & Co.",Paxton,Elrod,8,,51,99,99,79,99,,,,31,26,6
8409,"Girls & Co.",Drew,Davis,1,1,59,60,57,49,,60,82,60,30,24,23
8410,"Girls & Co.",Dan,Canobbio,1,1,13,11,29,83,,95,68,52,27,22,15
8411,"Girls & Co.",Dan,Rourke,1,1,33,54,37,60,,92,89,25,31,31,7
8412,"Pinstripe Strong",Ashland,Scott,3,,89,89,44,88,47,,,,31,10,9
8413,"Pinstripe Strong",Lou,Dab,4,,69,97,47,53,94,,,,42,1,0
8414,"Pinstripe Strong",Peter,Moylan,5,,90,80,20,70,54,,,,28,9,6
8415,"Pinstripe Strong",Chris,Rose,6,,68,80,32,68,88,,,,34,27,7
8416,"Pinstripe Strong",Joez,McFly,7,,99,99,64,99,99,,,,25,0,1
8416,"Pinstripe Strong",Joez,McFly,7,,99,99,64,99,99,,,,25,1,1
8417,"Pinstripe Strong",Justin,Shackil,9,,80,91,70,72,50,,,,25,12,11
8418,"Goat Herd",Gyvi,World,4,,95,95,28,58,56,,,,38,8,7
8418,"Goat Herd",Gyvi,World,4,,95,95,28,58,56,,,,38,29,6
8419,"Goat Herd",Mighty,Goat,5,,99,99,99,70,92,,,,24,12,10
8420,"Goat Herd",K,Pritz,6,,70,21,70,30,92,,,,25,0,0
8420,"Goat Herd",K,Pritz,6,,70,21,70,30,92,,,,25,29,6
