"localID","teamName","firstName","lastName","primaryPosition","pitcherRole","power","contact","speed","fielding","arm","velocity","junk","accuracy","age","trait","subType","league","gender","throws","bats","secondaryPosition","jerseyNumber","rating","trait1","chemistry1","trait2","chemistry2","careerStart","careerEnd","fourSeamFastball","twoSeamFastball","screwball","changeup","forkball","curveball","slider","cutFastball","windup","pitchAngle","playerChemistry","salary"
1,"Sawteeth","Thrash","Allmeyer",1,1,2,21,24,82,,44,56,76,31,31,7,"superMega","",1,1,"","39",83.73633999999998,"Wild Thing","Spirited","","","","",1,"","",1,"",1,1,"",2,3,"Scholarly","6500000.00"
2,"Sawteeth","Mattie","Batts",8,,62,64,73,52,40,,,,36,15,6,"superMega",1,"","",11,"23",21.44419,"Pinch perfect","Disciplined","Noodle Arm","Competitive","","","","","","","","","","",4,3,"Scholarly","7600000.00"
3,"Sawteeth","Johnny","Bags",9,,66,73,75,35,70,,,,23,32,6,"superMega","",1,2,7,"26",6.051497,"Clutch","Spirited","","","","","","","","","","","","",4,3,"Disciplined","10400000.00"
4,"Sawteeth","Slash","Trips",8,,66,88,95,64,36,,,,22,11,6,"superMega","","",2,12,"3",5.328777,"Bad Ball Hitter","Crafty","Rally Starter","Spirited","","","","","","","","","","",4,3,"Disciplined","15200000.00"
5,"Hot Corners","Dirk","Sportswood",3,,70,89,39,64,68,,,,31,29,7,"superMega","",1,1,"","28",19.67699,"Butterfingers","Disciplined","Stimulated","Crafty","","","","","","","","","","",4,3,"Spirited","8000000.00"
6,"Sawteeth","Cathy","Culdesac",7,,50,52,64,88,48,,,,21,1,0,"superMega",1,1,"",9,"29",3.997417,"CON vs RHP","Spirited","","","","","","","","","","","","",4,3,"Spirited","6000000.00"
7,"Sawteeth","Junior","Young Jr",3,,79,29,49,45,58,,,,19,0,1,"superMega","",1,1,2,"22",0.3300564,"POW vs LHP","Spirited","","","","","","","","","","","","",4,3,"Crafty","4100000.00"
8,"Sawteeth","Kira","Nutmeg",5,,44,93,52,55,72,,,,21,27,6,"superMega",1,1,"",6,"15",23.54022,"Base Rounder","Disciplined","","","","","","","","","","","","",4,3,"Scholarly","7900000.00"
9,"Sawteeth","Jon","Ronero",6,,90,58,69,74,19,,,,28,8,7,"superMega","",1,1,4,"12",82.05115,"Bad Jumps","Crafty","Big Hack","Scholarly","","","","","","","","","","",4,3,"Crafty","8800000.00"
10,"Jacks","Alberto","Roberto",1,1,11,18,20,43,,16,72,64,37,22,21,"superMega","",1,"","","45",74.30332,"Elite FK","Scholarly","","","","",1,"","",1,1,1,1,"",1,3,"Crafty","5800000.00"
11,"Sawteeth","Melody","Moods",1,1,20,26,15,55,,26,69,55,30,33,26,"superMega",1,"",1,"","32",14.64308,"Volatile","Disciplined","","","","",1,"","",1,"",1,1,1,1,3,"Scholarly","5300000.00"
12,"Sawteeth","Doc","Simpleman",1,3,22,26,28,58,,61,53,53,37,19,7,"superMega","","","","","49",80.99348,"Falls Behind","Scholarly","Durable","Competitive","","",1,1,"","","","",1,"",3,1,"Scholarly","5000000.00"
13,"Sawteeth","Pex","Flext",2,,62,73,15,69,75,,,,29,38,6,"superMega","",1,"",9,"16",25.43471,"Sign Stealer","Crafty","","","","","","","","","","","","",4,3,"Disciplined","7900000.00"
14,"Sawteeth","Maximo","Primo",1,4,9,22,13,71,,70,91,80,27,20,6,"superMega","",1,"","","34",20.27517,"Rally Stopper","Spirited","","","","",1,"","",1,"",1,"","",4,2,"","10900000.00"
15,"Sawteeth","Hanso","Magikko",6,,37,41,57,91,80,,,,22,29,6,"superMega","",1,1,13,"1",19.77298,"Magic Hands","Disciplined","","","","","","","","","","","","",4,3,"Crafty","4700000.00"
16,"Sawteeth","Libby","Doe",1,3,7,18,32,63,,56,58,49,25,,,"superMega",1,1,1,"","58",26.01314,,,"","","","",1,1,"",1,"","","","",4,2,"Crafty","5000000.00"
17,"Sawteeth","DP","Turner",4,,61,55,43,80,46,,,,32,36,6,"superMega","",1,"",10,"11",1.885038,"Cannon Arm","Competitive","Dive Wizard","Spirited","","","","","","","","","","",4,3,"Crafty","6800000.00"
