"localID","teamName","firstName","lastName","primaryPosition","pitcherRole","power","contact","speed","fielding","arm","velocity","junk","accuracy","age","trait","subType","gender","throws","bats","fourSeamFastball","twoSeamFastball","screwball","changeup","forkball","curveball","slider","cutFastball","windup","pitchAngle","rating","league","trait1","chemistry1","trait2","chemistry2"
1,"Sawteeth","Thrash","Allmeyer",1,1,2,21,24,82,,44,56,76,31,31,7,0,1,1,1,0,0,1,0,1,1,0,2,3,83.73633999999998,"superMega","Wild Thing","Spirited","",""
2,"Sawteeth","Mattie","Batts",8,,62,64,73,52,40,,,,36,15,6,1,0,0,,,,,,,,,4,3,21.44419,"superMega","Pinch perfect","Disciplined","Noodle Arm","Competitive"
3,"Sawteeth","Johnny","Bags",9,,66,73,75,35,70,,,,23,32,6,0,1,2,,,,,,,,,4,3,6.051497,"superMega","Clutch","Spirited","",""
4,"Sawteeth","Slash","Trips",8,,66,88,95,64,36,,,,22,11,6,0,0,2,,,,,,,,,4,3,5.328777,"superMega","Bad Ball Hitter","Crafty","Rally Starter","Spirited"
5,"Hot Corners","Dirk","Sportswood",3,,70,89,39,64,68,,,,31,29,7,0,1,1,,,,,,,,,4,3,19.67699,"superMega","Butterfingers","Disciplined","Stimulated","Crafty"
6,"Sawteeth","Cathy","Culdesac",7,,50,52,64,88,48,,,,21,1,0,1,1,0,,,,,,,,,4,3,3.997417,"superMega","CON vs RHP","Spirited","",""
7,"Sawteeth","Junior","Young Jr",3,,79,29,49,45,58,,,,19,0,1,0,1,1,,,,,,,,,4,3,0.3300564,"superMega","POW vs LHP","Spirited","",""
8,"Sawteeth","Kira","Nutmeg",5,,44,93,52,55,72,,,,21,27,6,1,1,0,,,,,,,,,4,3,23.54022,"superMega","Base Rounder","Disciplined","",""
9,"Sawteeth","Jon","Ronero",6,,90,58,69,74,19,,,,28,8,7,0,1,1,,,,,,,,,4,3,82.05115,"superMega","Bad Jumps","Crafty","Big Hack","Scholarly"
10,"Jacks","Alberto","Roberto",1,1,11,18,20,43,,16,72,64,37,22,21,0,1,0,1,0,0,1,1,1,1,0,1,3,74.30332,"superMega","Elite FK","Scholarly","",""
11,"Sawteeth","Melody","Moods",1,1,20,26,15,55,,26,69,55,30,33,26,1,0,1,1,0,0,1,0,1,1,1,1,3,14.64308,"superMega","Volatile","Disciplined","",""
12,"Sawteeth","Doc","Simpleman",1,3,22,26,28,58,,61,53,53,37,19,7,0,0,0,1,1,0,0,0,0,1,0,3,1,80.99348,"superMega","Falls Behind","Scholarly","Durable","Competitive"
13,"Sawteeth","Pex","Flext",2,,62,73,15,69,75,,,,29,38,6,0,1,0,,,,,,,,,4,3,25.43471,"superMega","Sign Stealer","Crafty","",""
14,"Sawteeth","Maximo","Primo",1,4,9,22,13,71,,70,91,80,27,20,6,0,1,0,1,0,0,1,0,1,0,0,4,2,20.27517,"superMega","Rally Stopper","Spirited","",""
15,"Sawteeth","Hanso","Magikko",6,,37,41,57,91,80,,,,22,29,6,0,1,1,,,,,,,,,4,3,19.77298,"superMega","Magic Hands","Disciplined","",""
16,"Sawteeth","Libby","Doe",1,3,7,18,32,63,,56,58,49,25,,,1,1,1,1,1,0,1,0,0,0,0,4,2,26.01314,"superMega",,,"",""
17,"Sawteeth","DP","Turner",4,,61,55,43,80,46,,,,32,36,6,0,1,0,,,,,,,,,4,3,1.885038,"superMega","Cannon Arm","Competitive","Dive Wizard","Spirited"
18,"Sawteeth","Junior","Young Sr",2,,70,41,38,76,92,,,,42,1,1,0,1,1,,,,,,,,,4,3,75.70479,"superMega","CON vs LHP","Spirited","",""
19,"Sawteeth","Grease","Veterano",1,2,6,26,17,70,,28,75,63,32,,,0,1,1,1,0,0,0,0,1,1,1,3,1,86.68163,"superMega",,,"",""
20,"Sawteeth","Brick","Towers",1,3,2,24,48,46,,59,96,48,29,22,18,0,1,1,1,0,0,0,0,1,1,0,0,2,27.76181,"superMega","Elite SL","Scholarly","",""
21,"Sirloins","Manny","Kays",1,1,11,2,67,88,,75,88,77,25,22,15,0,0,0,1,1,0,1,0,1,0,0,2,3,6.96098,"superMega","Elite 2F","Scholarly","",""
22,"Sirloins","Slip","Van'Derwink",1,1,44,2,14,46,,60,76,71,30,18,7,0,0,0,1,0,0,1,1,1,1,0,3,1,84.81684,"superMega","Easy Jumps","Crafty","",""
23,"Sirloins","Bugsy","Snugs",1,1,18,6,15,37,,77,64,64,31,6,7,0,1,1,1,1,0,0,0,0,1,1,0,2,8.476926,"superMega","BB Prone","Disciplined","",""
24,"Sirloins","Preston","Addonomus",2,,84,19,48,64,69,,,,37,,,0,1,2,,,,,,,,,4,3,23.88342,"superMega",,,"",""
25,"Sirloins","Lloyd","Cook",4,,80,52,83,72,33,,,,32,3,2,0,1,0,,,,,,,,,4,3,78.08816,"superMega","High Pitch","Disciplined","",""
26,"Sirloins","Hammer","Longballo",9,,99,78,60,58,75,,,,29,0,0,0,1,0,,,,,,,,,4,3,12.53674,"superMega","POW vs RHP","Spirited","Fastball Hitter","Disciplined"
27,"Sirloins","Willard","Wiggins",6,,66,50,64,46,68,,,,21,2,6,0,1,0,,,,,,,,,4,3,4.668097,"superMega","RBI Hero","Spirited","Dive Wizard","Spirited"
28,"Sirloins","Filet","Jones",7,,97,41,44,55,25,,,,20,36,7,0,1,1,,,,,,,,,4,3,79.0033,"superMega","Noodle Arm","Competitive","",""
29,"Sirloins","Miguel","Duke",1,3,9,13,47,39,,30,86,18,29,,,0,1,0,1,0,0,0,0,1,1,0,1,3,87.01806999999998,"superMega",,,"",""
30,"Hot Corners","Bobby","Bashe",5,,96,32,75,55,63,,,,24,10,9,0,1,1,,,,,,,,,4,3,69.54022,"superMega","Off-speed Hitter","Disciplined","Wild Thrower","Crafty"
31,"Sirloins","Madoka","Hayata",5,,48,84,97,43,45,,,,36,30,7,1,1,1,,,,,,,,,4,3,7.303319,"superMega","Wild Thrower","Crafty","",""
32,"Sirloins","Damien","Rush",8,,89,12,93,57,70,,,,31,26,6,0,1,1,,,,,,,,,4,3,27.783649999999998,"superMega","Sprinter","Competitive","Magic Hands","Disciplined"
33,"Sirloins","Momo","Tobo",2,,50,48,37,70,80,,,,29,,,0,1,1,,,,,,,,,4,3,17.34264,"superMega",,,"",""
34,"Sirloins","Linus","Digby",1,3,21,6,54,89,,50,55,19,27,,,0,1,0,1,0,0,1,0,1,1,0,4,2,26.26541,"superMega",,,"",""
35,"Sirloins","Javier","Cortez",7,,65,32,46,44,64,,,,27,8,6,0,0,0,,,,,,,,,4,3,74.19608,"superMega","Stealer","Crafty","",""
36,"Sirloins","Mick","Steeyle",3,,84,35,45,28,21,,,,27,15,6,0,1,0,,,,,,,,,4,3,2.021098,"superMega","Pinch perfect","Disciplined","",""
37,"Sirloins","Franz","Zilla",1,4,5,2,19,58,,85,39,25,32,7,6,0,1,1,1,0,0,0,0,0,1,0,4,3,13.495979999999998,"superMega","K Collector","Competitive","",""
38,"Jacks","Betty","Sparks",9,,97,26,37,21,64,,,,27,,,1,1,1,,,,,,,,,4,3,8.265411,"superMega",,,"",""
39,"Sand Cats","Kerwin","Arches",1,1,55,13,16,82,,60,62,80,35,23,6,0,1,1,1,0,1,0,0,1,1,0,3,2,4.668097,"superMega","Workhorse","Competitive","",""
40,"Sirloins","Shay","Dee",1,3,29,17,32,94,,84,51,95,31,19,7,1,0,0,1,0,0,1,0,1,0,1,2,1,82.22245,"superMega","Falls Behind","Scholarly","Stimulated","Crafty"
41,"Grapplers","Bertram","Haftberger III",1,1,14,18,35,58,,18,54,29,29,18,6,0,1,1,1,0,0,1,0,1,1,0,2,1,14.48132,"superMega","Pick Officer","Crafty","",""
42,"Grapplers","Marco","Demarco",8,,71,37,86,67,66,,,,36,4,7,0,0,0,,,,,,,,,4,3,5.913361,"superMega","Whiffer","Competitive","Big Hack","Scholarly"
43,"Hot Corners","Seymour","Socks",9,,7,58,85,62,94,,,,32,27,6,0,1,1,,,,,,,,,4,3,72.25333,"superMega","Base Rounder","Disciplined","Bunter","Scholarly"
